query_id,query,method,rank,product_id,score,product_name,product_class,query_term_frequencies,preview
1,smart coffee table,Jaccard,2,19985,0.222222,pafford coffee table,,smart:0 | coffee:3 | table:1,
1,smart coffee table,Jaccard,3,19986,0.222222,grapeville coffee table,,smart:0 | coffee:3 | table:1,
1,smart coffee table,Jaccard,4,20272,0.222222,mccane coffee table,,smart:0 | coffee:3 | table:1,
1,smart coffee table,Jaccard,5,20273,0.222222,mccants coffee table,,smart:0 | coffee:3 | table:1,
1,smart coffee table,Jaccard,6,32567,0.222222,algimas coffee table,,smart:0 | coffee:3 | table:1,
1,smart coffee table,Jaccard,7,36109,0.222222,raffa coffee table,,smart:0 | coffee:3 | table:1,
1,smart coffee table,Jaccard,8,38248,0.222222,tasnia coffee table,,smart:0 | coffee:3 | table:1,
1,smart coffee table,Jaccard,9,38976,0.222222,arnemuiden 3 piece coffee table set,Living Room Table Sets,smart:0 | coffee:1 | table:2,
1,smart coffee table,Jaccard,10,39692,0.222222,calmar coffee table,,smart:0 | coffee:3 | table:1,
2,dinosaur,TF-IDF,1,24094,0.926907,dinosaur throw pillow,Accent Pillows,dinosaur:4,this dinosaur throw pillow is the plushiest and friendliest stuffed dinosaur you can find . dinosaur features bright and vibrant chenille accents .
2,dinosaur,TF-IDF,2,34737,0.876532,dinosaur wall decor,Wall Décor,dinosaur:3,decorate your dinosaur themed party with the dinosaur wall decor . combined with additional decor to complete the look .
2,dinosaur,TF-IDF,3,34739,0.720008,dinosaur whirl set,Disposable Party Supplies,dinosaur:3,decorate your dinosaur themed party with the 6 piece dinosaur whirl set . combined with additional decor to complete the look .
2,dinosaur,TF-IDF,4,28472,0.672008,nisswa dinosaur reversible comforter set,Bedding Sets,dinosaur:3,"this nisswa dinosaur reversible comforter set is sure to brighten up your child 's room . with a bright and colorful dinosaur pattern , this set is sure to be a"
2,dinosaur,TF-IDF,5,195,0.610916,dinosaur sheet set,Sheets And Sheet Sets,dinosaur:1,
2,dinosaur,TF-IDF,6,14418,0.610916,dinosaur institute diy assemble dinosaur home toy appliance set,Play Kitchen Sets,dinosaur:15,dinosaur institute diy assemble dinosaur home toy set perfect party supplies to feature : dinosaur playset : this great value dinosaur play is perfectly matched
2,dinosaur,TF-IDF,7,21048,0.610916,mod dinosaur 4 piece comforter set,Bedding Sets,dinosaur:5,this mod dinosaur 4 piece comforter set will help you create an incredible room for your child . this stylish designer mod dinosaur 4 piece comforter set uses a
2,dinosaur,TF-IDF,8,38628,0.610916,dinosaur skull with base,Decorative Objects,dinosaur:1,
2,dinosaur,TF-IDF,9,34735,0.592948,dinosaur standup,Life Size Cutouts,dinosaur:3,decorate your dinosaur themed party with the dinosaur standup . combined with additional decor to complete the look .
2,dinosaur,TF-IDF,10,3754,0.584355,dugger 3-d dinosaur design coffee mug,Mugs & Teacups,dinosaur:6,do n't miss this opportunity to add awesome dinosaur fun and charm to your daily coffee ( or other preferred drink ) routine . this mug boasts a 3-d ceramic des
2,dinosaur,BM25,1,24094,11.612117,dinosaur throw pillow,Accent Pillows,dinosaur:4,this dinosaur throw pillow is the plushiest and friendliest stuffed dinosaur you can find . dinosaur features bright and vibrant chenille accents .
2,dinosaur,BM25,2,14418,11.584947,dinosaur institute diy assemble dinosaur home toy appliance set,Play Kitchen Sets,dinosaur:15,dinosaur institute diy assemble dinosaur home toy set perfect party supplies to feature : dinosaur playset : this great value dinosaur play is perfectly matched
2,dinosaur,BM25,3,34737,11.254017,dinosaur wall decor,Wall Décor,dinosaur:3,decorate your dinosaur themed party with the dinosaur wall decor . combined with additional decor to complete the look .
2,dinosaur,BM25,4,3754,11.159821,dugger 3-d dinosaur design coffee mug,Mugs & Teacups,dinosaur:6,do n't miss this opportunity to add awesome dinosaur fun and charm to your daily coffee ( or other preferred drink ) routine . this mug boasts a 3-d ceramic des
2,dinosaur,BM25,5,21048,11.134221,mod dinosaur 4 piece comforter set,Bedding Sets,dinosaur:5,this mod dinosaur 4 piece comforter set will help you create an incredible room for your child . this stylish designer mod dinosaur 4 piece comforter set uses a
2,dinosaur,BM25,6,34739,10.979079,dinosaur whirl set,Disposable Party Supplies,dinosaur:3,decorate your dinosaur themed party with the 6 piece dinosaur whirl set . combined with additional decor to complete the look .
2,dinosaur,BM25,7,28472,10.872829,nisswa dinosaur reversible comforter set,Bedding Sets,dinosaur:3,"this nisswa dinosaur reversible comforter set is sure to brighten up your child 's room . with a bright and colorful dinosaur pattern , this set is sure to be a"
2,dinosaur,BM25,8,34735,10.66638,dinosaur standup,Life Size Cutouts,dinosaur:3,decorate your dinosaur themed party with the dinosaur standup . combined with additional decor to complete the look .
2,dinosaur,BM25,9,36630,10.628629,baby brachiosaurus dino egg statue,Garden Statues,dinosaur:5,he 's practically dino-sized at birth because design toscano mighty baby dinosaur hatchling emerges from his oversized egg at over ! design toscano exclusive di
2,dinosaur,BM25,10,36533,10.479917,baby raptor dino egg statue,Garden Statues,dinosaur:5,"he 's practically dino-sized at birth because design toscano mighty baby dinosaur hatchling emerges from his oversized egg . design toscano exclusive , eoraptor"
2,dinosaur,Jaccard,1,195,0.111111,dinosaur sheet set,Sheets And Sheet Sets,dinosaur:1,
2,dinosaur,Jaccard,2,38628,0.111111,dinosaur skull with base,Decorative Objects,dinosaur:1,
2,dinosaur,Jaccard,3,4202,0.1,1 3/4 '' dinosaur novelty knob,Cabinet and Drawer Knobs,dinosaur:1,
2,dinosaur,Jaccard,4,4204,0.1,2 3/8 '' dinosaur novelty knob,Cabinet and Drawer Knobs,dinosaur:1,
2,dinosaur,Jaccard,5,4201,0.090909,oversized 2 1/4 '' dinosaur novelty knob,Cabinet and Drawer Knobs,dinosaur:1,
2,dinosaur,Jaccard,6,4203,0.090909,oversized 2 '' dinosaur novelty knob,Cabinet and Drawer Knobs,dinosaur:1,
2,dinosaur,Jaccard,7,29886,0.076923,marcantonio dinosaur portrait parasaurolophus paper print,Kids Wall Décor,dinosaur:1,
2,dinosaur,Jaccard,8,34737,0.076923,dinosaur wall decor,Wall Décor,dinosaur:3,decorate your dinosaur themed party with the dinosaur wall decor . combined with additional decor to complete the look .
2,dinosaur,Jaccard,9,42530,0.076923,doyden dinosaur metal personalized decorative plaque,Kids Wall Décor,dinosaur:1,
2,dinosaur,Jaccard,10,29144,0.066667,mcdonald dinosaur lake canvas art,Kids Wall Décor,dinosaur:1,children 's wall art featuring prehistoric scene .
